NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY
Catawba Heights Elementary,North Belmont PCE,0.7739143864910336,28012,NC,Belmont,37071
Lincoln School,Quanta Resources,0.7757254514923453,7022,NJ,FAIRVIEW,34003
Minerva High School,"TRW, Inc. (Minerva Plant)",0.7766424509765338,44657,OH,Minerva,39151
Seward Elementary,South Minneapolis Residential Soil Contamination,0.7771449078087507,55406,MN,MINNEAPOLIS,27053
REPUBLIC MIDDLE,"Solid State Circuits, Inc.",0.7779915511084454,65738,MO,REPUBLIC,29077
MCKEEL ACADEMY OF TECHNOLOGY,Landia Chemical Company,0.7786610674115556,33815,FL,LAKELAND,12105
Parmenter,BJAT LLC,0.7788856609266793,2038,MA,Franklin,25021
NORTH DADE CENTER FOR MODERN LANGUAGES,"Anodyne, Inc.",0.779418143328055,33054,FL,MIAMI GARDENS,12086
NORTH DADE MIDDLE SCHOOL,"Anodyne, Inc.",0.779418143328055,33054,FL,MIAMI GARDENS,12086
Hazelton Elementary,McCormick & Baxter Creosoting Co.,0.7798134658221245,95206,CA,Stockton,6077
Adams County Technical Institute,Hunterstown Road,0.779992217322767,17325,PA,Gettysburg,42001
Ivanhoe Elementary,San Fernando Valley (Area 4),0.7800580686558187,90039,CA,Los Angeles,6037
Slidell High School,Bayou Bonfouca,0.7802983674752343,70458,LA,Slidell,22103
HOLLEY JUNIOR SENIOR HIGH SCHOOL,Diaz Chemical Corporation,0.7809381175551516,14470,NY,HOLLEY,36073
Whitehall Senior High School,Muskegon Chemical Co.,0.781074105342816,49461,MI,WHITEHALL,26121
Hillside Learning Center,Rockwell International Corp. (Allegan Plant),0.7814325523843889,49010,MI,ALLEGAN,26005
Berlin Elementary School,Chlor-Alkali Facility (Former),0.7814896726394231,3570,NH,Berlin,33007
QUEST COLLEGIATE ACADEMY - JASPER,Hart Creosoting Company,0.7820599902386677,75951,TX,JASPER,48241
STRATFORD AVENUE SCHOOL,Fulton Avenue,0.7822976347919601,11530,NY,GARDEN CITY,36059
Edmunds Middle School,Pine Street Canal,0.7825649823588664,5401,VT,Burlington,50007
Troy Junior High School,East Troy Contaminated Aquifer,0.7828310002971154,45373,OH,Troy,39109
LYNN MIDDLE,Griggs & Walnut Ground Water Plume,0.7829127867895821,88001,NM,LAS CRUCES,35013
PS 132 CONSELYEA SCHOOL (THE),Newtown Creek,0.7833316999768788,11211,NY,BROOKLYN,36047
CONSELYEA PREPARATORY SCHOOL,Newtown Creek,0.7833316999768788,11211,NY,BROOKLYN,36047
Kyle Elementary School,West Troy Contaminated Aquifer,0.7834855518700766,45373,OH,Troy,39109
Roosevelt Elementary School,Mason City Coal Gasification Plant,0.7836370328384685,50401,IA,Mason City,19033
New Foundations CS,Metal Banks,0.7839668439168865,19136,PA,Philadelphia,42101
Robert Elliott Alternative Education Center,Modesto Ground Water Contamination,0.7841000586173894,95350,CA,Modesto,6099
Bright Elem School,Acme Steel Coke Plant,0.7848050466684244,60617,IL,Chicago,17031
Highlands Elementary School,Pacific Car & Foundry Co.,0.7854944004496051,98056,WA,Renton,53033
PASADENA H S,US Oil Recovery,0.7861093078639433,77506,TX,PASADENA,48201
CHARLES A MULLIGAN ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.7867601210337195,11722,NY,CENTRAL ISLIP,36103
Delcroft Sch,Lower Darby Creek Area,0.7868975894174367,19032,PA,Folcroft,42045
MTS PEASE ACADEMY,General Mills/Henkel Corp.,0.7870929050266513,55414,MN,MINNEAPOLIS,27053
Parkview Elementary School,Spartan Chemical Co.,0.787307609970235,49519,MI,WYOMING,26081
Indiana School For The Deaf,Keystone Corridor Ground Water Contamination,0.7875630116524981,46205,IN,Indianapolis,18097
BELLEVUE EAST SR HIGH SCHOOL,PCE - Carriage Cleaners,0.7875777380113087,68005,NE,BELLEVUE,31153
Garfield High School,Garfield Ground Water Contamination,0.7879147340286441,7026,NJ,GARFIELD,34003
Early Learning Center at Francis M. Day,Broderick Wood Products,0.787925323822675,80221,CO,DENVER,8001
Godwin Heights Senior High School,Chem Central,0.7885404101536956,49548,MI,GRAND RAPIDS,26081
Highlands SHS,Lindane Dump,0.7886531693804788,15065,PA,Natrona Heights,42003
River Valley Technical Center,Old Springfield Landfill,0.7888421469884704,5156,VT,Springfield,50027
Barnes Learning Center (Alc),Big John Salvage - Hoult Road,0.788980505774377,26554,WV,Fairmont,54049
ESCAMBIA VIRTUAL ACADEMY FRANCHISE,Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
ESCAMBIA VIRTUAL INSTRUCTIONAL PROGRAM (DISTRICT PROVIDED),Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
TAP PK BABIES,Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
HOSPITAL & HOMEBOUND,Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
COUNTY ADMINISTRATIVE ANNEX,Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
ESCAMBIA VIRTUAL INSTRUCTION PROGRAM,Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
ESCAMBIA SCH. DIST. JAIL PROG.,Escambia Wood - Pensacola,0.7892015858952798,32503,FL,PENSACOLA,12033
Crestwood Middle School,Kentwood Landfill,0.7892899806284256,49512,MI,GRAND RAPIDS,26081
LYONS COMMUNITY SCHOOL,Newtown Creek,0.7897644696127204,11206,NY,BROOKLYN,36047
WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY (THE),Newtown Creek,0.7897644696127204,11206,NY,BROOKLYN,36047
BROOKLYN LATIN SCHOOL (THE),Newtown Creek,0.7897644696127204,11206,NY,BROOKLYN,36047
