NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY
LONGFELLOW ELEMENTARY,Fruit Avenue Plume,0.04573758284697423,87102,NM,ALBUQUERQUE,35001
Insight School of WA Open Doors Program,"Commencement Bay, South Tacoma Channel",0.05080917625617846,98409,WA,Tacoma,53053
Basin School,Basin Mining Area,0.059318622512047364,59631,MT,Basin,30043
Van Cleve Elementary School,East Troy Contaminated Aquifer,0.06630252679627542,45373,OH,Troy,39109
North Belmont Elementary,North Belmont PCE,0.06818298877802474,28012,NC,Belmont,37071
INES MARIA MENDOZA DE MUNOZ MARIN CABO ROJO,Cabo Rojo Ground Water Contamination,0.06967924756949663,623,PR,CABO ROJO,72023
Ravenswood High School,Ravenswood PCE Ground Water Plume,0.07312822885411048,26164,WV,Ravenswood,54035
Cove Day School,Lukachukai Mountains Mining District,0.07857227972065432,86544,AZ,Red Valley,4001
TAGOS Leadership Acad,Janesville Ash Beds,0.09198369577777679,53545,WI,Janesville,55105
Paden City High School,Paden City Groundwater,0.09531028079085804,26159,WV,Paden City,54103
Freeman High School,Grain Handling Facility at Freeman,0.09975619797081882,99030,WA,Rockford,53063
North Ward Elementary School,Rockwell International Corp. (Allegan Plant),0.10173565965621487,49010,MI,ALLEGAN,26005
West Chicago Comm High School,Kerr-McGee (Residential Areas),0.10408155708233312,60185,IL,West Chicago,17043
ABQ CHARTER ACADEMY,Fruit Avenue Plume,0.10798048462911251,87102,NM,ALBUQUERQUE,35001
Thomas Jefferson School #9,"Curcio Scrap Metal, Inc.",0.11245495696993343,7026,NJ,Garfield,34003
Ravenswood Middle School,Ravenswood PCE Ground Water Plume,0.11788102990865858,26164,WV,Ravenswood,54035
JUDITH A. VIVAS,"Papelera Puertorriquena, Inc.",0.11933490086512191,641,PR,UTUADO,72141
Freeman Middle School,Grain Handling Facility at Freeman,0.12556927666759984,99030,WA,Rockford,53063
Freeman Elementary School,Grain Handling Facility at Freeman,0.12556927666759984,99030,WA,Rockford,53063
LOLA RODRIGUEZ DE TIO,San German Ground Water Contamination,0.12862301591785813,683,PR,SAN GERMAN,72125
HOMEBOUND,Bandera Road Ground Water Plume,0.1324634762572362,78238,TX,SAN ANTONIO,48029
SCHOOL AGED PARENTING PROGRAM,Bandera Road Ground Water Plume,0.1324634762572362,78238,TX,SAN ANTONIO,48029
Jacques Memorial Elementary School,Fletcher's Paint Works & Storage,0.13467201207692917,3055,NH,Milford,33011
WOODMERE MIDDLE SCHOOL,Peninsula Boulevard Ground Water Plume,0.136149460675871,11557,NY,HEWLETT,36059
Wallace Stegner Academy,Portland Cement (Kiln Dust 2 & 3),0.13706602029425227,84104,UT,SALT LAKE CITY,49035
HILLSBOROUGH GIRLS ACADEMY,Peak Oil Co./Bay Drum Co.,0.1394580179865982,33619,FL,TAMPA,12057
Butler High School,Peach Orchard Road PCE Ground Water Plume,0.1396708654938087,30906,GA,Augusta,13245
JAMES FANNIN MIDDLE,Delfasco Forge,0.14117404360192726,75050,TX,GRAND PRAIRIE,48113
Cleveland Street Elementary School,Orange Valley Regional Ground Water Contamination,0.1446728728504231,7050,NJ,ORANGE,34013
Muskegon Montessori Academy for Environmental Change,Kaydon Corp.,0.14758391996040185,49441,MI,NORTON SHORES,26121
MONTGOMERY CO J J A E P,United Creosoting Co.,0.15494396091289023,77301,TX,CONROE,48339
PROJECT RESTORE,United Creosoting Co.,0.15494396091289023,77301,TX,CONROE,48339
Delair Elementary School,Puchack Well Field,0.1562560596155824,8110,NJ,DELAIR,34007
Chamberlain Elementary School,North 5th Street Groundwater Contamination,0.15673706484084277,46528,IN,Goshen,18039
Cleveland Street Elementary School,U.S. Radium Corp.,0.16227093481088412,7050,NJ,ORANGE,34013
AURORA CHARTER SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725,55404,MN,MINNEAPOLIS,27053
AURORA MIDDLE SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725,55404,MN,MINNEAPOLIS,27053
STEWART SCHOOL,Old Roosevelt Field Contaminated Ground Water Area,0.17557708241978812,11530,NY,GARDEN CITY,36059
BELLEVUE MISSION MIDDLE SCHOOL,PCE - Carriage Cleaners,0.17580701037120267,68005,NE,BELLEVUE,31153
Bob Holcomb Elementary,Newmark Ground Water Contamination,0.17755549703380805,92407,CA,San Bernardino,6071
Atwater Avenue Elementary,San Fernando Valley (Area 4),0.18064649186528967,90039,CA,Los Angeles,6037
GREAT RIVER SCHOOL,Koppers Coke,0.18295463105170096,55108,MN,SAINT PAUL,27123
Great River Elementary School,Koppers Coke,0.18295463105170096,55108,MN,SAINT PAUL,27123
RANDALL MIDDLE SCHOOL,Rosen Brothers Scrap Yard/Dump,0.1850947148714639,13045,NY,CORTLAND,36023
LINDSAY ATTENDANCE CENTER,Lindsay Manufacturing Co.,0.1857195760026175,68644,NE,LINDSAY,31141
Gibbsboro Elementary School,Sherwin-Williams/Hilliards Creek,0.18787039381289272,8026,NJ,GIBBSBORO,34007
NEW DAWN CHARTER HIGH SCHOOL,Gowanus Canal,0.18873616788637845,11217,NY,BROOKLYN,36047
Trinity School,Kerr-McGee (Residential Areas),0.18976575746954366,60185,IL,West Chicago,17043
JJAEP,United Creosoting Co.,0.19379095409167174,77301,TX,CONROE,48339
Lynnewood El Sch,Havertown PCP,0.19480431503492046,19083,PA,Havertown,42045
Elwood Haynes Elementary School,Kokomo Contaminated Ground Water Plume,0.1952543463685767,46901,IN,Kokomo,18067
LOGAN-ROGERSVILLE PRIMARY,Compass Plaza Well TCE,0.20362225626992542,65742,MO,ROGERSVILLE,29077
Roosevelt School #7,Garfield Ground Water Contamination,0.20438176647128628,7026,NJ,GARFIELD,34003
West Essex High School,Caldwell Trucking Co.,0.20439892834250223,7006,NJ,NORTH CALDWELL,34013
LANDING SCHOOL,"Mattiace Petrochemical Co., Inc.",0.2066060685744312,11542,NY,GLEN COVE,36059
Woodcrest Elementary,Orange County North Basin,0.20758757657744026,92832,CA,Fullerton,6059
Iola Elementary School,Former United Zinc & Associated Smelters,0.21165464337047757,66749,KS,Iola,20001
HIGHLANDS ELEMENTARY SCHOOL,General Dynamics Longwood,0.21463577318744725,32708,FL,WINTER SPRINGS,12117
Joseph Gomez Elementary School,Tutu Wellfield,0.21588181824186223,802,VI,Saint Thomas,78030
CORTLAND HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333,13045,NY,CORTLAND,36023
CORTLAND JUNIOR HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333,13045,NY,CORTLAND,36023
Orange Early Childhood Center,U.S. Radium Corp.,0.21987859627686004,7050,NJ,Orange,34013
Southwest Tech,"Jard Company, Inc.",0.22088695015259333,5201,VT,Bennington,50003
Catawba Heights Elementary,Jadco-Hughes Facility,0.22253400865890174,28012,NC,Belmont,37071
Lincoln Memorial Elem,Caney Residential Yards,0.22334765271107812,67333,KS,Caney,20125
Blades Elementary School,Blades Groundwater,0.2253543818912723,19973,DE,Blades,10005
Bountiful School,Five Points PCE Plume,0.22780687810777775,84010,UT,BOUNTIFUL,49011
Roberto Clemente International Dual Language School,Scovill Industrial Landfill,0.22852509248306072,6705,CT,Waterbury,9140
Kiser Elementary School,Behr Dayton Thermal System VOC Plume,0.23032894268574672,45404,OH,Dayton,39113
Beverly City School District,Cosden Chemical Coatings Corp.,0.2356563416577301,8010,NJ,BEVERLY,34005
PS 32 SAMUEL MILLS SPROLE,Gowanus Canal,0.23619204791752108,11231,NY,BROOKLYN,36047
Mt. Anthony Senior Union High School,"Jard Company, Inc.",0.23679852688373235,5201,VT,Bennington,50003
WASHINGTON AVE ELEMENTARY,Lea and West Second Street,0.238800374620943,88201,NM,ROSWELL,35005
GEORGE PEABODY EL,RSR Corp.,0.2404402704741197,75212,TX,DALLAS,48113
FRANKLIN EARLY CHILDHOOD CENTER,Peninsula Boulevard Ground Water Plume,0.24529989695998164,11557,NY,HEWLETT,36059
Walpole High,Blackburn and Union Privileges,0.2458116605512315,2081,MA,Walpole,25021
NORPHLET MIDDLE SCHOOL,MacMillan Ring Free Oil,0.24724946156061495,71759,AR,NORPHLET,5139
Orange Early Childhood Center,Orange Valley Regional Ground Water Contamination,0.24785941054426708,7050,NJ,Orange,34013
LAKE ACADEMY SECURE,Peak Oil Co./Bay Drum Co.,0.2499251395960695,33619,FL,TAMPA,12057
LAKE ACADEMY,Peak Oil Co./Bay Drum Co.,0.2499251395960695,33619,FL,TAMPA,12057
Westmoreland Elementary School,Fair Lawn Well Field,0.2511570852035607,7410,NJ,FAIR LAWN,34003
Keystone El Sch,Croydon TCE,0.2515448151139013,19021,PA,Croydon,42017
Forest Elementary School,East Troy Contaminated Aquifer,0.25202217889503703,45373,OH,Troy,39109
Community Middle School,Brook Industrial Park,0.2530474483087639,8805,NJ,Bound Brook,34035
Windemere Park Charter Academy,Adam's Plating,0.25335147080668524,48917,MI,LANSING,26065
Great Valley MS,Malvern TCE,0.25464308405915514,19355,PA,Malvern,42029
PS/IS 384 FRANCES E CARTER,Wolff-Alport Chemical Company,0.2561924982402792,11207,NY,BROOKLYN,36047
THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION,Continental Cleaners,0.2563962590458752,33150,FL,MIAMI,12086
Clark Elementary School,Highway 3 PCE,0.2570606371466467,51031,IA,Le Mars,19149
JESUS T. PINERO CIDRA,Cidra Ground Water Contamination,0.25747663641635454,739,PR,CIDRA,72041
Jefferson Elementary,"N.W. Mauthe Co., Inc.",0.2578255133069876,54914,WI,Appleton,55087
Stebbins High School,Valley Pike VOCs,0.258053280582182,45424,OH,Dayton,39113
John A. Forrest Elementary School,Fair Lawn Well Field,0.259162603090238,7410,NJ,FAIR LAWN,34003
HILLSBOROUGH GIRLS ACADEMY,Reeves Southeastern Galvanizing Corp.,0.26389465430239023,33619,FL,TAMPA,12057
Donnelsville Elementary School,Donnelsville Contaminated Aquifer,0.26460893941363095,45319,OH,Donnelsville,39023
METRO DEAF SCHOOL,Koppers Coke,0.265684276039798,55108,MN,SAINT PAUL,27123
LUIS MUNOZ IGLESIAS,Cidra Ground Water Contamination,0.2668314859759898,739,PR,CIDRA,72041
Utah Connections Academy,Wasatch Chemical Co. (Lot 6),0.26695847486884,84106,UT,SALT LAKE CITY,49035
OMAHA HIGH SCHOOL,"Arkwood, Inc.",0.26707040832008433,72662,AR,OMAHA,5009
OMAHA ELEMENTARY SCHOOL,"Arkwood, Inc.",0.26707040832008433,72662,AR,OMAHA,5009
Mad River Middle School,Valley Pike VOCs,0.2679961739982652,45424,OH,Dayton,39113
TAGOS Leadership Acad,Janesville Old Landfill,0.26889840444767643,53545,WI,Janesville,55105
PEDRO NELSON COLBERG,Cabo Rojo Ground Water Contamination,0.2702163058221206,623,PR,CABO ROJO,72023
Lincoln International High School,South Minneapolis Residential Soil Contamination,0.27072084656064804,55404,MN,MINNEAPOLIS,27053
Sartori Elementary School,Pacific Car & Foundry Co.,0.27310151836849683,98057,WA,Renton,53033
Neale Elementary School,Vienna Tetrachloroethene,0.273740462308717,26105,WV,Vienna,54107
York Avenue El Sch,North Penn - Area 6,0.27378223318263833,19446,PA,Lansdale,42091
CENTRAL ELEMENTARY SCHOOL,PCE - Carriage Cleaners,0.27393574097083523,68005,NE,BELLEVUE,31153
Henry P. Becton Regional High School,Universal Oil Products (Chemical Division),0.27425191426810847,7073,NJ,EAST RUTHERFORD,34003
TAMPA RESIDENTIAL FACILITY,Peak Oil Co./Bay Drum Co.,0.27463223153847244,33619,FL,TAMPA,12057
GRANTS HIGH,Grants Chlorinated Solvents Plume,0.2759115920484088,87020,NM,GRANTS,35006
N B Mills Elementary,"FCX, Inc. (Statesville Plant)",0.27918567385081106,28677,NC,Statesville,37097
VIENNA MIDDLE,Vienna Wells,0.2793063200087872,65582,MO,VIENNA,29125
VIENNA HIGH,Vienna Wells,0.2793063200087872,65582,MO,VIENNA,29125
VIENNA ELEM.,Vienna Wells,0.2793063200087872,65582,MO,VIENNA,29125
Park Avenue Elementary School,Orange Valley Regional Ground Water Contamination,0.27947000274136435,7050,NJ,ORANGE,34013
WILFREDO LAFUENTE ORTIZ,Maunabo Area Ground Water Contamination,0.2814348136324825,707,PR,MAUNABO,72095
Henry (Patrick) Elementary,Orange County North Basin,0.2817438395478437,92801,CA,Anaheim,6059
LANDING SCHOOL,Li Tungsten Corp.,0.28187408124254704,11542,NY,GLEN COVE,36059
H. S. Chase School,Scovill Industrial Landfill,0.2833096027820082,6705,CT,Waterbury,9140
Sierra Vista Elementary,"Brown & Bryant, Inc. (Arvin Plant)",0.2834816035966216,93203,CA,Arvin,6029
Souderton CS Collaborative,North Penn - Area 1,0.28735125398665584,18964,PA,Souderton,42091
John D. Bud Hawk Elementary at Jackson Park,Jackson Park Housing Complex (USNAVY),0.28794655114893564,98312,WA,BREMERTON,53035
Fox River Academy,"N.W. Mauthe Co., Inc.",0.28889526096805457,54914,WI,Appleton,55087
MTS HIGH SCHOOL,South Minneapolis Residential Soil Contamination,0.2899453604525506,55406,MN,MINNEAPOLIS,27053
COLUMBUS RESIDENTIAL JUVENILE FACILITY,Peak Oil Co./Bay Drum Co.,0.2904324414798126,33619,FL,TAMPA,12057
MESA VIEW ELEMENTARY,Grants Chlorinated Solvents Plume,0.29047463859337275,87020,NM,GRANTS,35006
Minnesota Connections Academy 7-12,Koppers Coke,0.2919699046668678,55108,MN,SAINT PAUL,27123
Minnesota Connections Academy K-6,Koppers Coke,0.2919699046668678,55108,MN,SAINT PAUL,27123
ANTHONY ALFANO ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.2931843597518233,11722,NY,CENTRAL ISLIP,36103
COBBLE HILL SCHOOL OF AMERICAN STUDIES,Gowanus Canal,0.293287962053834,11201,NY,BROOKLYN,36047
Broadwater School,Billings PCE,0.29335679574733076,59102,MT,Billings,30111
ISABEL FLORES,Juncos Landfill,0.2940292877161041,777,PR,JUNCOS,72077
Gibbsboro Elementary School,United States Avenue Burn,0.2945671527422986,8026,NJ,GIBBSBORO,34007
MCCULLOCH ELEMENTARY,"Solid State Circuits, Inc.",0.29499153364464414,65738,MO,REPUBLIC,29077
ALFONSO CASTA MARTINEZ,Maunabo Area Ground Water Contamination,0.2958427120348343,707,PR,MAUNABO,72095
NORCREST ELEMENTARY SCHOOL,Flash Cleaners,0.2959290849384689,33064,FL,POMPANO BEACH,12011
HERMOSA HEIGHTS ELEMENTARY,Griggs & Walnut Ground Water Plume,0.2963966762388695,88001,NM,LAS CRUCES,35013
Pontiac Elementary,Townsend Saw Chain Co.,0.2964106619917584,29045,SC,Elgin,45079
Excel Academy Rhode Island,Centredale Manor Restoration Project,0.2975208824782249,2911,RI,North Providence,44007
Lafayette Elementary School,Brook Industrial Park,0.2984926239280018,8805,NJ,Bound Brook,34035
Abraham Lincoln School #6,Garfield Ground Water Contamination,0.2992264710770852,7026,NJ,GARFIELD,34003
ANA J. CANDELAS,Cidra Ground Water Contamination,0.299726467116689,739,PR,CIDRA,72041
Fairview Elementary School,Cliff Drive Groundwater Contamination,0.30129941660762793,46947,IN,Logansport,18017
Wenzel School,Sturgis Municipal Wells,0.30175414067788514,49091,MI,STURGIS,26149
Friendship PCS - Chamberlain Elementary,Washington Navy Yard,0.3044967360834271,20003,DC,Washington,11001
Friendship PCS - Chamberlain Middle,Washington Navy Yard,0.3044967360834271,20003,DC,Washington,11001
Washington High School,Sporlan Valve Plant #1,0.30534633694176266,63090,MO,Washington,29071
HENRY W. LONGFELLOW,San German Ground Water Contamination,0.30560476585811586,683,PR,SAN GERMAN,72125
WEST SIDE ELEMENTARY SCHOOL,Picayune Wood Treating,0.3062189858766616,39466,MS,Picayune,28109
SALTZMAN EAST MEMORIAL ELEMENTARY SCHOOL,Preferred Plating Corp.,0.30775673847907575,11735,NY,FARMINGDALE,36103
Tweedy Elementary,Cooper Drum Company,0.3091159799529354,90280,CA,South Gate,6037
CASS LAKE-BENA AREA LRNG. CNTR.,St. Regis Paper Co.,0.30965728913989876,56633,MN,CASS LAKE,27021
Garfield Elementary School,Riverside Industrial Park,0.31085941916738274,7032,NJ,KEARNY,34017
LANIER-JAMES EDUCATION CENTER,Petroleum Products Corp.,0.312975347083215,33009,FL,HALLANDALE BEACH,12011
Patterson High,Kane & Lombard Street Drums,0.31389402254664184,21224,MD,Baltimore,24510
ST. LOUIS PARK SPECIAL ED. PROGRAM,Highway 100 and County Road 3 Groundwater Plume,0.3161081023036545,55416,MN,SAINT LOUIS PARK,27053
Crittenden Middle,Teledyne Semiconductor,0.31779702612109445,94043,CA,Mountain View,6085
NASSAU CO JUVENILE DETENTION CENTER,New Cassel/Hicksville Ground Water Contamination,0.31870286851738233,11590,NY,WESTBURY,36059
Alamo Elementary,Alamo Contaminated Ground Water,0.3190367745266074,38001,TN,Alamo,47033
Meridian Impact Re-Engagement,Oeser Co,0.32184660280093397,98225,WA,Bellingham,53073
Bonner 6-8,Milltown Reservoir Sediments,0.32260821776916687,59823,MT,Bonner,30063
Bonner School,Milltown Reservoir Sediments,0.32260821776916687,59823,MT,Bonner,30063
Casimer M. Dallago Jr. Impact Center,Former Kil-Tone Company,0.32308059719701404,8360,NJ,VINELAND,34011
MINEOLA HIGH SCHOOL,Fulton Avenue,0.3245918219279396,11040,NY,GARDEN CITY PARK,36059
GRANT ELEMENTARY SCHOOL,Iowa-Nebraska Light & Power Co,0.3247622601390654,68701,NE,NORFOLK,31119
HENRYETTA ES,Henryetta Iron and Metal,0.3252164360064017,74437,OK,Henryetta,40111
Heliotrope Avenue Elementary,Pemaco Maywood,0.3256676668386792,90270,CA,Maywood,6037
Gloria M Sabater Elementary School,Former Kil-Tone Company,0.3269566525160981,8360,NJ,VINELAND,34011
PS 38 PACIFIC (THE),Gowanus Canal,0.3286600647575064,11217,NY,BROOKLYN,36047
JUVENILE DETENTION CTR,United Creosoting Co.,0.33070536858220484,77301,TX,CONROE,48339
JUVENILE JUSTICE ALTERNATIVE EDUCATION PROGRAM,United Creosoting Co.,0.33070536858220484,77301,TX,CONROE,48339
West Essex Middle School,Caldwell Trucking Co.,0.33112398644492314,7006,NJ,NORTH CALDWELL,34013
PS 151 LYNDON B JOHNSON,Wolff-Alport Chemical Company,0.3321135941251572,11237,NY,BROOKLYN,36047
Crooked Billet El Sch,Raymark,0.3337375154901231,19040,PA,Hatboro,42091
ELEMENTAL URBANA DE VEGA ALTA,Vega Alta Public Supply Wells,0.3338500198790149,692,PR,VEGA ALTA,72143
CORDELLO AVENUE ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.3363751372881536,11722,NY,CENTRAL ISLIP,36103
Old Mill Elementary School,"Waldick Aerospace Devices, Inc.",0.33649564670341037,8750,NJ,SEA GIRT,34025
Boston Renaissance Charter Public School,Lower Neponset River,0.33655403764596276,2136,MA,Hyde Park,25025
San Miguel Elementary,"Advanced Micro Devices, Inc. (Building 915)",0.3366375462945282,94085,CA,Sunnyvale,6085
NASSAU BOCES,Old Roosevelt Field Contaminated Ground Water Area,0.33701174311693755,11530,NY,GARDEN CITY,36059
Abraham Lincoln,Silresim Chemical Corp.,0.3371450084579274,1851,MA,Lowell,25017
TRANSITION PLUS SERVICES,South Minneapolis Residential Soil Contamination,0.33742547599553085,55407,MN,MINNEAPOLIS,27053
ARMWOOD HIGH SCHOOL,Taylor Road Landfill,0.33819386501383103,33584,FL,SEFFNER,12057
Juan Pablo Duarte - Jose Julian Marti School No 28,Chemical Control,0.33827969755911824,7206,NJ,ELIZABETH,34039
Hamburg Area HS,Price Battery,0.33854293836884725,19526,PA,Hamburg,42011
LAKE ACADEMY SECURE,Reeves Southeastern Galvanizing Corp.,0.3399991330381025,33619,FL,TAMPA,12057
LAKE ACADEMY,Reeves Southeastern Galvanizing Corp.,0.3399991330381025,33619,FL,TAMPA,12057
ESCAMBIA VIRTUAL INSTRUCTION PROGRAM,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
HOSPITAL & HOMEBOUND,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
COUNTY ADMINISTRATIVE ANNEX,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
ESCAMBIA VIRTUAL INSTRUCTIONAL PROGRAM (DISTRICT PROVIDED),Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
ESCAMBIA VIRTUAL ACADEMY FRANCHISE,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
ESCAMBIA SCH. DIST. JAIL PROG.,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
TAP PK BABIES,Agrico Chemical Co.,0.34006151949439883,32503,FL,PENSACOLA,12033
Slidell Junior High School,Bayou Bonfouca,0.3411731242644523,70458,LA,Slidell,22103
MIAMI EDISON SENIOR HIGH SCHOOL,Continental Cleaners,0.3412652667795749,33127,FL,MIAMI,12086
West Deptford High School,"Matteo & Sons, Inc.",0.3423183234225304,8093,NJ,WEST DEPTFORD,34015
Cardinal O'Connell Early Learning Center,Silresim Chemical Corp.,0.34331599244997524,1852,MA,Lowell,25017
PS 110 MONITOR (THE),Meeker Avenue Plume,0.34374241035200603,11222,NY,BROOKLYN,36047
MURRAY MIDDLE SCHOOL,Solitron Microwave,0.34380817906158767,34997,FL,STUART,12085
Haven Drive Middle,"Brown & Bryant, Inc. (Arvin Plant)",0.3454834062499185,93203,CA,Arvin,6029
West Essex High School,Unimatic Manufacturing Corporation,0.3467660669314575,7006,NJ,NORTH CALDWELL,34013
YES PREP - NORTHSIDE,North Cavalcade Street,0.34845084995431325,77026,TX,HOUSTON,48201
James Madison School #10,Garfield Ground Water Contamination,0.34880411499180686,7026,NJ,GARFIELD,34003
Career Pathways,Koppers Coke,0.3489610085613067,55104,MN,SAINT PAUL,27123
Sci Tech Engr Arts and Math at Legacy High Sch Complex,Southern Avenue Industrial Area,0.3492547074537339,90280,CA,South Gate,6037
Visual and Performing Arts at Legacy High School Complex,Southern Avenue Industrial Area,0.3492547074537339,90280,CA,South Gate,6037
International Studies Lrng Center at Legacy High Sch Complex,Southern Avenue Industrial Area,0.3492547074537339,90280,CA,South Gate,6037
Greystone School,Centredale Manor Restoration Project,0.35109099927120796,2911,RI,North Providence,44007
SUPERIOR ILEANA DE GRACIA,Vega Alta Public Supply Wells,0.3512427016567083,692,PR,VEGA ALTA,72143
Crittenden Middle,"CTS Printex, Inc.",0.35139732794994527,94043,CA,Mountain View,6085
SCHOFIELD ELEMENTARY,"Solid State Circuits, Inc.",0.3525719687305832,65738,MO,REPUBLIC,29077
Jackson El Sch,Whitmoyer Laboratories,0.35273556724118305,17067,PA,Myerstown,42075
Woodstock Elementary School,Linemaster Switch Corp.,0.35316546364667134,6281,CT,Woodstock,9150
SEVERO E. COLBERG RAMIREZ,Cabo Rojo Ground Water Contamination,0.3564948936743955,623,PR,CABO ROJO,72023
Clay Hill Public Charter School,Kane & Lombard Street Drums,0.3564957454212893,21224,MD,Baltimore,24510
Joseph B. Lancaster Elementary School,Madisonville Creosote Works,0.3565861073420533,70447,LA,Madisonville,22103
San Cayetano Elementary,Pacific Coast Pipe Lines,0.3571199173976313,93016,CA,Fillmore,6111
Northeast College Prep Charter Scho,Southeast Hennepin Area Groundwater and Vapor,0.3579381809723123,55413,MN,MINNEAPOLIS,27053
Carter Lake Elementary School,American Lake Gardens/McChord AFB,0.3588631684217068,98439,WA,JBLM McChord Field,53053
Lincoln Elementary School,Northernaire Plating,0.3608314611780488,49601,MI,CADILLAC,26165
Blaine Re-Engagement,Oeser Co,0.3610557156114563,98225,WA,Bellingham,53073
Jose Antonio Vargas Elementary,Intel Corp. (Mountain View Plant),0.3611445817677895,94043,CA,Mountain View,6085
Crooked Billet El Sch,Fischer & Porter Co.,0.36248986041817155,19040,PA,Hatboro,42091
Frank Ward Strong School,Durham Meadows,0.362948114274745,6422,CT,Durham,9130
Theuerkauf Elementary,"Spectra-Physics, Inc.",0.36319161210831846,94043,CA,Mountain View,6085
New Century School,Koppers Coke,0.3633109093545294,55108,MN,SAINT PAUL,27123
LINCOLN ELEMENTARY SCHOOL,Iowa-Nebraska Light & Power Co,0.36450232725354886,68701,NE,NORFOLK,31119
New Century School Secondary,Koppers Coke,0.36512003301478924,55108,MN,SAINT PAUL,27123
NCS Online Program,Koppers Coke,0.36512003301478924,55108,MN,SAINT PAUL,27123
Western Heights Middle,Central Chemical (Hagerstown),0.3673229924788542,21740,MD,Hagerstown,24043
PS 133 WILLIAM A BUTLER,Gowanus Canal,0.3676266608165101,11217,NY,BROOKLYN,36047
Ironton Sch,Heleva Landfill,0.3677604718769711,18037,PA,Coplay,42077
Denver Center for International Studies at Fairmon,Denver Radium Site,0.3679018945361926,80223,CO,DENVER,8031
Great Valley HS,Malvern TCE,0.368417765672866,19355,PA,Malvern,42029
LaMonte-Annex Elementary School,Brook Industrial Park,0.3685722128758072,8805,NJ,Bound Brook,34035
West Essex Middle School,Unimatic Manufacturing Corporation,0.3700837025384254,7006,NJ,NORTH CALDWELL,34013
PS 372 CHILDREN'S SCHOOL (THE),Gowanus Canal,0.3703640657121844,11215,NY,BROOKLYN,36047
BUSHWICK ASCEND CHARTER SCHOOL,Wolff-Alport Chemical Company,0.3705922677602445,11221,NY,BROOKLYN,36047
Dover High School,Reilly Tar & Chemical Corp. (Dover Plant),0.37257635009420015,44622,OH,Dover,39157
Odyssey Charter,Jet Propulsion Laboratory (NASA),0.3731124111277453,91001,CA,Altadena,6037
Waynesboro Middle School,Mallory Capacitor Co.,0.3732614885399629,38485,TN,Waynesboro,47181
VERONA HIGH,Syntex Facility,0.3733540380858341,65769,MO,VERONA,29109
VERONA ELEM.,Syntex Facility,0.3733540380858341,65769,MO,VERONA,29109
Portola High,El Toro Marine Corps Air Station,0.3734360500708284,92618,CA,Irvine,6059
Maple Wood Elementary School,Somersworth Sanitary Landfill,0.37433846509850704,3878,NH,Somersworth,33017
East Dover Elementary School,Dover Municipal Well 4,0.3757566364750796,7801,NJ,DOVER,34027
Dover Middle School,Dover Municipal Well 4,0.3757566364750796,7801,NJ,DOVER,34027
Tweedy Elementary,Southern Avenue Industrial Area,0.37657841871928444,90280,CA,South Gate,6037
DePue High School,DePue/New Jersey Zinc/Mobil Chemical Corp.,0.3775224726307002,61322,IL,DePue,17011
DePue Elem School,DePue/New Jersey Zinc/Mobil Chemical Corp.,0.3775224726307002,61322,IL,DePue,17011
Providencia Elementary,San Fernando Valley (Area 1),0.3777470073655531,91505,CA,Burbank,6037
ALOMA HIGH CHARTER,"City Industries, Inc.",0.37900679971325557,32792,FL,WINTER PARK,12095
Prescott Elementary School,Peoples Natural Gas Co.,0.3799401669740865,52001,IA,Dubuque,19061
Jackson Junior High,Argonaut Mine,0.3804106163536472,95642,CA,Jackson,6005
PS 68 CAMBRIDGE,Wolff-Alport Chemical Company,0.38262606222639334,11385,NY,RIDGEWOOD,36081
Shandin Hills Middle,Newmark Ground Water Contamination,0.3832270154046794,92407,CA,San Bernardino,6071
Cajon High,Newmark Ground Water Contamination,0.383746779444686,92407,CA,San Bernardino,6071
Mona Shores Middle School,Kaydon Corp.,0.3859842867551786,49441,MI,MUSKEGON,26121
Cadence Park,El Toro Marine Corps Air Station,0.38664402554602295,92618,CA,Irvine,6059
SCHUYLERVILLE HIGH SCHOOL,Hudson River PCBs,0.38707530631139664,12871,NY,SCHUYLERVILLE,36091
GARDEN CITY HIGH SCHOOL,Fulton Avenue,0.38793896938804495,11530,NY,GARDEN CITY,36059
Florida Avenue Elementary School,Bayou Bonfouca,0.38829948902834943,70458,LA,Slidell,22103
SOUTH SALEM ELEMENTARY SCHOOL,Port Washington Landfill,0.3893356838292597,11050,NY,PORT WASHINGTON,36059
