,Year,Count
43,1977,1
40,1978,1
39,1979,1
35,1980,3
37,1982,2
41,1984,1
42,1985,1
36,1986,2
27,1987,12
33,1988,5
34,1989,3
38,1990,2
31,1991,8
28,1992,11
30,1993,9
17,1994,28
23,1995,14
32,1996,6
18,1997,27
26,1998,12
25,1999,13
21,2000,15
19,2001,21
10,2002,73
2,2003,437
0,2004,762
1,2005,657
3,2006,221
7,2007,104
12,2008,62
5,2009,113
9,2010,79
13,2011,50
11,2012,65
8,2013,94
15,2014,45
20,2015,16
29,2016,11
16,2017,29
24,2018,13
4,2019,128
14,2020,47
6,2021,108
22,2022,14
